Description,Accuracy,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Experiment config,Model config
LogReg train,0.7136367649,0.1051890494,0.7855993564,0.1855355301,0.8261422222,285442,13671,3731,116295,configuration_93,model_8
LogReg test,0.6988577857,0.08035492678,0.5713655416,0.1408948728,0.670620124,70709,2590,1943,29642,configuration_93,model_8
