,Description,Accuracy,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Experiment config,Model config
0,Main BRF only cat and num (train),0.6382441147208922,0.10248770953029675,0.9943109987357776,0.18582198548047593,0.9835710695297739,250210,17303,99,151527,configuration_93,model_1
0,Main BRF only cat and num (test),0.6039434041417184,0.07421128932047771,0.7114493712772998,0.13440300062513025,0.712891602229978,60119,3225,1308,40232,configuration_93,model_1
