('D', 'i100'),63615
('D', 'z515'),33028
('D', 'e1152'),29593
('D', 'z720'),24955
('D', 'n390'),24230
('D', 'e119'),23768
('D', 'i500'),23656
('D', 'z8642'),22213
('D', 'i4890'),19458
('D', 'i2510'),19018
('D', 'r9431'),18407
('D', 'z37000'),18343
('D', 'i214'),18114
('D', 'n179'),18031
('D', 'j189'),17894
('D', 'u980'),17717
('I', '3ip10vx'),17271
('I', '1is53grlf'),14944
('I', '1gz31cand'),14782
('D', 'z38000'),13123
('D', 'y831'),13052
('D', 'z751'),12892
('D', 'd649'),12107
('I', '5md50aa'),10542
('D', 'r53'),9683
('D', 'i959'),9590
('D', 'j441'),9508
('D', 'z509'),9204
('D', 'z501'),8701
('D', 'f103'),8404
('D', 'j440'),8337
('D', 'e860'),8200
('D', 'e1123'),8105
('D', 'z540'),8034
('D', 'b962'),7999
('D', 'e876'),7982
('D', 'y832'),7959
('D', 'f03'),7925
('D', 'y836'),7768
('I', '1il35hzm8'),7603
('I', '1ij50gqoa'),7382
('D', 'w01'),7293
('D', 'r9430'),7244
('D', 'f059'),7226
('I', '5pc80jp'),7157
('D', 'u989'),7147
('D', 'e1128'),6892
('I', '2nk70babl'),6635
('D', 'n0839'),6567
('D', 'c787'),6390
('D', 'j90'),6334
('D', 'y839'),6219
('D', 'm179'),6119
('I', '1od89da'),6088
('D', 'c795'),5906
('D', 'j449'),5825
('D', 'r33'),5786
('D', 'r138'),5717
('D', 'k590'),5686
('D', 'n189'),5583
('D', 'e871'),5553
('I', '5ld31ap'),5531
('D', 'z38010'),5272
('D', 't814'),5175
('D', 'a099'),5148
('D', 'e149'),5134
('D', 'j690'),5043
('D', 'k566'),4936
('I', '5md60aa'),4919
('D', 'r509'),4900
('I', '1lz37lagb'),4799
('D', 'o70101'),4601
('D', 'e1164'),4576
('I', '2pm70ba'),4544
('D', 'a419'),4543
('D', 'r113'),4517
('I', '1lz35hhc6'),4328
('D', 'y838'),4316
('D', 'l0311'),4197
('D', 'e1452'),4158
('D', 'f419'),4153
('D', 'm169'),4150
('D', 'w19'),4148
('D', 't810'),4108
('D', 'i252'),4089
('I', '1pz21hqbr'),4082
('D', 'g4730'),4076
('D', 'r410'),4049
('D', 'i200'),4036
('D', 'i269'),4018
('D', 'n40'),4008
('I', '1va53lapn'),3926
('D', 'w1809'),3914
('D', 'u9820'),3897
('D', 'e875'),3769
('D', 'i211'),3733
('D', 'd509'),3681
('D', 'z850'),3636
('D', 'e833'),3611
('I', '1pe50babj'),3607
('D', 'f058'),3587
('D', 'i4800'),3578
('D', 'y848'),3558
('D', 'r296'),3530
('D', 'r55'),3504
('D', 'e039'),3476
('D', 'i350'),3456
('D', 'c61'),3449
('I', '1nv89da'),3392
('D', 'o62301'),3388
('D', 'e834'),3363
('D', 'r001'),3321
('D', 'i639'),3287
('D', 'r000'),3261
('D', 'd630'),3249
('I', '5ld31hai2'),3247
('I', '1vg53lappn'),3235
('D', 'e785'),3221
('D', 'z911'),3176
('D', 'k8000'),3143
('I', '5ac30hai2'),3133
('D', 'b956'),3108
('D', 'y442'),3104
('D', 'r060'),3096
('D', 'y833'),3085
('D', 's72100'),3080
('D', 't812'),3080
('D', 'e877'),3059
('D', 'z2238'),3048
('D', 'z955'),3043
('D', 'y600'),3024
('D', 'm170'),3019
('D', 'r074'),2989
('D', 'w80'),2985
('D', 'z951'),2930
('I', '5ac30cki2'),2923
('I', '1zz35ha1c'),2920
('D', 'f329'),2915
('I', '1vg53lapnn'),2909
('D', 'e1168'),2902
('D', 'k219'),2898
('D', 'k358'),2887
('D', 'r18'),2877
('D', 'n0835'),2865
('I', '1rm89la'),2863
